location,product,date,sa_quantity,temp_mean,temp_max,temp_min,sunshine_quant,event,price
1193,1,2012-02-06,1,5.12,7.37,2.87,231.0,,1.5
1193,1,2012-02-07,1,1.0,3.57,-1.57,153.0,,1.5
1193,1,2012-02-08,2,-2.07,0.36,-4.5,251.0,Tu B'Shevat (Arbor Day),1.5
1193,1,2012-02-09,5,0.94,3.51,-1.63,167.0,,1.48
1193,1,2012-02-10,6,0.675,2.13,-0.78,92.0,,1.4833333333333334
1193,1,2012-02-11,3,-1.435,1.79,-4.66,396.0,,1.5
1193,1,2012-02-12,1,3.16,7.06,-0.74,152.0,,1.5
1193,1,2012-02-13,5,5.99,7.97,4.01,153.0,,1.48
1193,1,2012-02-14,1,6.105,8.99,3.22,326.0,Valentine's Day,1.5
1193,1,2012-02-15,0,8.925,10.57,7.28,161.0,,
1193,1,2012-02-16,3,7.585,9.23,5.94,180.0,,1.5
1193,1,2012-02-17,5,8.315,9.06,7.57,78.0,,1.48
1193,1,2012-02-18,2,4.77,8.02,1.52,274.0,,1.5
1193,1,2012-02-19,0,4.025,7.2,0.85,478.0,Maha Shivaratri,
1193,1,2012-02-20,1,4.08,7.98,0.18,259.0,,1.5
1193,1,2012-02-21,0,7.785,9.1,6.47,142.0,Carnival/Shrove Tuesday,
1193,1,2012-02-22,0,9.145,10.36,7.93,106.0,Carnival/Ash Wednesday,
1193,1,2012-02-23,0,9.255,10.11,8.4,31.0,,
1193,1,2012-02-24,0,7.495,9.48,5.51,44.0,,
1193,1,2012-02-25,0,7.79,10.32,5.26,286.0,,
1193,1,2012-02-26,0,6.38,10.19,2.57,473.0,,
1193,1,2012-02-27,0,8.425,9.89,6.96,115.0,,
1193,1,2012-02-28,0,8.8,9.83,7.77,142.0,,
1193,1,2012-02-29,0,10.105,13.64,6.57,377.0,,
1193,1,2012-03-01,0,8.005,11.63,4.38,497.0,St. David's Day,
1193,1,2012-03-02,3,7.705,11.76,3.65,421.0,,1.5
1193,1,2012-03-03,0,9.16,11.54,6.78,364.0,,
1193,1,2012-03-04,0,5.21,7.49,2.93,346.0,,
1193,1,2012-03-05,3,6.275,9.31,3.24,516.0,,1.5
1193,1,2012-03-06,1,5.605,9.83,1.38,465.0,,1.5
1193,1,2012-03-07,0,7.45,10.18,4.72,298.0,,
1193,1,2012-03-08,1,6.905,10.19,3.62,389.0,Holi,1.5
1193,1,2012-03-09,0,9.09,10.27,7.91,116.0,,
1193,1,2012-03-10,1,9.52,11.11,7.93,82.0,,1.5
1193,1,2012-03-11,0,8.425,11.13,5.72,417.0,,
1193,1,2012-03-12,5,6.43,8.68,4.18,202.0,,1.48
1193,1,2012-03-13,2,6.525,7.57,5.48,14.0,,1.5
1193,1,2012-03-14,0,5.62,7.91,3.33,254.0,,
1193,1,2012-03-15,5,5.62,8.16,3.08,135.0,,1.48
1193,1,2012-03-16,0,8.37,9.71,7.03,164.0,,
1193,1,2012-03-17,0,7.735,10.41,5.06,337.0,St Patrick's Day,
1193,1,2012-03-18,0,6.625,9.71,3.54,441.0,Mothering Sunday,
1193,1,2012-03-19,1,6.275,10.72,1.83,545.0,St Patrick's Day observed,1.5
1193,1,2012-03-20,0,9.525,11.38,7.67,146.0,March equinox,
1193,1,2012-03-21,0,10.645,13.93,7.36,374.0,,
1193,1,2012-03-22,7,11.72,16.43,7.01,590.0,,1.4857142857142858
1193,1,2012-03-23,8,11.175,16.59,5.76,660.0,,1.4875
1193,1,2012-03-24,0,12.965,19.29,6.64,746.0,,
1193,1,2012-03-25,4,11.83,17.11,6.55,742.0,Daylight Saving Time starts,1.5
1193,1,2012-03-26,5,12.13,18.4,5.86,754.0,,1.48
1193,1,2012-03-27,1,12.22,17.97,6.47,758.0,,1.5
1193,1,2012-03-28,3,12.465,18.49,6.44,754.0,,1.5
1193,1,2012-03-29,4,12.115,17.04,7.19,758.0,,1.5
1193,1,2012-03-30,5,9.36,13.32,5.4,723.0,,1.48
1193,1,2012-03-31,2,8.67,10.92,6.42,255.0,,1.5
1193,1,2012-04-01,3,6.5,11.18,1.82,622.0,Palm Sunday,1.5
1193,1,2012-04-02,1,7.045,12.56,1.53,602.0,,1.5
1193,1,2012-04-03,5,7.89,11.6,4.18,369.0,,1.48
1193,1,2012-04-04,3,4.425,5.94,2.91,244.0,,1.5
1193,1,2012-04-05,14,5.83,8.57,3.09,222.0,Maundy Thursday,1.4928571428571427
1193,1,2012-04-06,0,5.35,10.29,0.41,494.0,Good Friday,
1193,1,2012-04-07,0,9.265,10.92,7.61,272.0,Holy Saturday,
1193,1,2012-04-08,0,10.375,12.59,8.16,241.0,Easter Sunday,
1193,1,2012-04-09,4,9.025,10.19,7.86,210.0,Easter Monday,1.5
1193,1,2012-04-10,0,7.97,10.08,5.86,544.0,,
1193,1,2012-04-11,6,7.58,11.06,4.1,563.0,,1.4833333333333334
1193,1,2012-04-12,3,8.34,11.72,4.96,476.0,,1.5
1193,1,2012-04-13,4,7.305,12.37,2.24,561.0,Orthodox Good Friday,1.5
1193,1,2012-04-14,0,7.61,9.64,5.58,298.0,Last day of Passover,
1193,1,2012-04-15,2,5.63,9.98,1.28,549.0,Orthodox Easter,1.5
1193,1,2012-04-16,9,5.825,10.22,1.43,501.0,Orthodox Easter Monday,1.488888888888889
1193,1,2012-04-17,1,8.66,10.63,6.69,411.0,,1.5
1193,1,2012-04-18,1,8.275,10.11,6.44,329.0,Yom HaShoah,1.5
1193,1,2012-04-19,2,8.045,9.86,6.23,415.0,,1.5
1193,1,2012-04-20,8,7.34,9.95,4.73,561.0,,1.4875
1193,1,2012-04-21,7,7.04,9.86,4.22,487.0,,1.4857142857142858
1193,1,2012-04-22,0,7.45,10.52,4.38,438.0,,
1193,1,2012-04-23,1,6.79,8.09,5.49,345.0,St. George's Day,1.5
1193,1,2012-04-24,4,8.14,11.47,4.81,484.0,,1.5
1193,1,2012-04-25,0,8.355,11.14,5.57,295.0,,
1193,1,2012-04-26,4,9.635,11.61,7.66,305.0,Yom HaAtzmaut,1.5
1193,1,2012-04-27,5,9.315,10.87,7.76,254.0,,1.48
1193,1,2012-04-28,6,7.445,8.53,6.36,167.0,,1.4833333333333334
1193,1,2012-04-29,6,6.49,9.04,3.94,318.0,,1.4833333333333334
1193,1,2012-04-30,2,11.035,14.58,7.49,293.0,,1.5
1193,1,2012-05-01,1,11.875,14.79,8.96,400.0,,1.5
1193,1,2012-05-02,4,10.685,12.9,8.47,340.0,,1.5
1193,1,2012-05-03,5,8.465,9.87,7.06,197.0,,1.48
1193,1,2012-05-04,7,8.385,9.81,6.96,243.0,,1.4857142857142858
1193,1,2012-05-05,0,7.38,10.22,4.54,389.0,,
1193,1,2012-05-06,2,8.29,11.68,4.9,426.0,,1.5
1193,1,2012-05-07,0,8.95,11.72,6.18,273.0,Early May Bank Holiday,
1193,1,2012-05-08,7,11.325,13.71,8.94,430.0,,1.342857142857143
1193,1,2012-05-09,0,10.655,13.4,7.91,238.0,,
1193,1,2012-05-10,2,13.065,14.79,11.34,248.0,Lag B'Omer,1.35
1193,1,2012-05-11,5,10.025,12.84,7.21,471.0,,1.3599999999999999
1193,1,2012-05-12,2,9.13,13.97,4.29,742.0,,1.35
1193,1,2012-05-13,5,9.235,13.64,4.83,819.0,,1.3599999999999999
1193,1,2012-05-14,1,9.975,12.43,7.52,485.0,,1.4
1193,1,2012-05-15,1,8.555,11.78,5.33,665.0,,1.4
1193,1,2012-05-16,1,8.495,13.05,3.94,742.0,,1.4
1193,1,2012-05-17,1,10.235,13.57,6.9,546.0,Ascension Day,1.4
1193,1,2012-05-18,1,11.855,15.34,8.37,473.0,,1.4
1193,1,2012-05-19,9,12.23,14.73,9.73,331.0,,1.3555555555555554
1193,1,2012-05-20,1,10.725,13.27,8.18,247.0,,1.4
1193,1,2012-05-21,1,11.725,15.98,7.47,810.0,,1.4
1193,1,2012-05-22,4,13.405,18.55,8.26,860.0,,1.35
1193,1,2012-05-23,6,14.745,18.66,10.83,479.0,,1.3499999999999999
1193,1,2012-05-24,2,16.435,22.39,10.48,499.0,,1.35
1193,1,2012-05-25,4,21.67,26.22,17.12,906.0,,1.35
1193,1,2012-05-26,3,20.315,26.09,14.54,966.0,,1.3333333333333333
1193,1,2012-05-27,1,17.225,20.84,13.61,822.0,Pentecost,1.4
1193,1,2012-05-28,6,16.875,21.72,12.03,747.0,Whit Monday,1.3499999999999999
1193,1,2012-05-29,1,15.855,19.6,12.11,710.0,,1.4
1193,1,2012-05-30,2,16.08,20.15,12.01,643.0,,1.35
1193,1,2012-05-31,2,14.425,16.19,12.66,254.0,,1.35
1193,1,2012-06-01,3,15.805,18.85,12.76,225.0,,1.3333333333333333
1193,1,2012-06-02,7,16.25,19.13,13.37,274.0,,1.342857142857143
1193,1,2012-06-03,1,13.38,15.33,11.43,206.0,Trinity Sunday,1.4
1193,1,2012-06-04,1,10.895,14.13,7.66,413.0,Spring Bank Holiday,1.4
1193,1,2012-06-05,0,12.06,13.62,10.5,325.0,The Queen's Diamond Jubilee,
1193,1,2012-06-06,1,14.23,16.31,12.15,503.0,,1.4
1193,1,2012-06-07,2,13.7,14.91,12.49,276.0,Corpus Christi,1.35
1193,1,2012-06-08,12,11.945,12.53,11.36,287.0,,1.3499999999999999
1193,1,2012-06-09,12,12.96,15.08,10.84,624.0,Queen's Birthday,1.3499999999999999
1193,1,2012-06-10,4,12.515,15.13,9.9,436.0,,1.35
1193,1,2012-06-11,4,12.55,13.66,11.44,417.0,,1.35
1193,1,2012-06-12,5,12.325,14.24,10.41,397.0,,1.3599999999999999
1193,1,2012-06-13,5,12.63,15.35,9.91,557.0,,1.3599999999999999
1193,1,2012-06-14,7,12.875,15.62,10.13,447.0,,1.342857142857143
1193,1,2012-06-15,10,14.29,16.24,12.34,448.0,,1.35
1193,1,2012-06-16,13,13.18,13.94,12.42,259.0,,1.353846153846154
1193,1,2012-06-17,2,13.77,16.29,11.25,458.0,Father's Day,1.35
1193,1,2012-06-18,6,13.56,17.22,9.9,578.0,,1.3499999999999999
1193,1,2012-06-19,2,14.36,18.59,10.13,638.0,,1.35
1193,1,2012-06-20,5,14.84,20.04,9.64,648.0,,1.3599999999999999
1193,1,2012-06-21,8,13.63,15.83,11.43,329.0,June Solstice,1.35
1193,1,2012-06-22,4,13.15,14.69,11.61,319.0,,1.35
1193,1,2012-06-23,6,13.205,15.24,11.17,378.0,,1.3499999999999999
1193,1,2012-06-24,2,13.85,16.18,11.52,378.0,,1.35
1193,1,2012-06-25,4,15.6,19.08,12.12,508.0,,1.35
1193,1,2012-06-26,5,15.625,17.64,13.61,179.0,,1.3599999999999999
1193,1,2012-06-27,3,17.155,19.91,14.4,288.0,,1.3333333333333333
1193,1,2012-06-28,4,17.515,19.81,15.22,447.0,,1.35
1193,1,2012-06-29,14,15.91,17.18,14.64,397.0,,1.3499999999999999
1193,1,2012-06-30,6,14.48,16.38,12.58,536.0,,1.3499999999999999
1193,1,2012-07-01,2,13.34,16.19,10.49,446.0,,1.35
1193,1,2012-07-02,7,14.635,16.01,13.26,227.0,,1.342857142857143
1193,1,2012-07-03,8,15.255,15.94,14.57,247.0,,1.35
1193,1,2012-07-04,0,15.52,16.82,14.22,276.0,,
1193,1,2012-07-05,1,15.11,18.54,11.68,503.0,,1.4
1193,1,2012-07-06,9,15.16,17.56,12.76,552.0,,1.3555555555555554
1193,1,2012-07-07,5,13.485,14.29,12.68,285.0,,1.3599999999999999
1193,1,2012-07-08,1,15.325,17.96,12.69,481.0,,1.4
1193,1,2012-07-09,0,14.905,17.05,12.76,382.0,,
1193,1,2012-07-10,4,14.035,16.11,11.96,372.0,,1.35
1193,1,2012-07-11,1,14.36,16.52,12.2,537.0,,1.4
1193,1,2012-07-12,0,12.335,14.98,9.69,478.0,Battle of the Boyne,
1193,1,2012-07-13,8,14.78,16.63,12.93,389.0,,1.35
1193,1,2012-07-14,4,14.335,15.83,12.84,398.0,,1.35
1193,1,2012-07-15,4,13.56,16.03,11.09,406.0,,1.35
1193,1,2012-07-16,6,14.475,15.94,13.01,232.0,,1.3499999999999999
1193,1,2012-07-17,2,16.08,18.03,14.13,250.0,,1.35
1193,1,2012-07-18,9,15.38,16.44,14.32,231.0,,1.3555555555555554
1193,1,2012-07-19,4,15.205,17.08,13.33,480.0,,1.35
1193,1,2012-07-20,13,14.665,17.39,11.94,546.0,Ramadan Start,1.353846153846154
1193,1,2012-07-21,11,15.195,19.64,10.75,534.0,,1.3454545454545455
1193,1,2012-07-22,3,17.565,21.43,13.7,666.0,,1.3333333333333333
1193,1,2012-07-23,5,17.725,23.46,11.99,950.0,,1.3599999999999999
1193,1,2012-07-24,6,18.495,24.57,12.42,937.0,,1.3499999999999999
1193,1,2012-07-25,1,19.37,25.53,13.21,764.0,,1.4
1193,1,2012-07-26,3,21.43,26.83,16.03,809.0,,1.3333333333333333
1193,1,2012-07-27,12,18.52,22.84,14.2,657.0,,1.3499999999999999
1193,1,2012-07-28,7,13.82,16.97,10.67,702.0,,1.342857142857143
1193,1,2012-07-29,0,13.465,16.09,10.84,615.0,Tisha B'Av,
1193,1,2012-07-30,4,13.585,16.59,10.58,567.0,,1.35
1193,1,2012-07-31,7,15.105,18.43,11.78,324.0,,1.342857142857143
1193,1,2012-08-01,0,17.155,18.73,15.58,369.0,Raksha Bandhan,
1193,1,2012-08-02,4,15.985,17.76,14.21,515.0,,1.35
1193,1,2012-08-03,5,16.11,18.93,13.29,559.0,,1.3599999999999999
1193,1,2012-08-04,5,15.47,17.76,13.18,457.0,,1.3599999999999999
1193,1,2012-08-05,4,15.75,18.21,13.29,555.0,,1.35
1193,1,2012-08-06,4,14.63,17.63,11.63,544.0,Summer Bank Holiday,1.35
1193,1,2012-08-07,2,14.975,16.36,13.59,343.0,,1.35
1193,1,2012-08-08,2,18.11,20.41,15.81,252.0,,1.35
1193,1,2012-08-09,8,19.535,23.03,16.04,403.0,Janmashtami,1.35
1193,1,2012-08-10,5,20.06,24.53,15.59,679.0,,1.3599999999999999
1193,1,2012-08-11,4,18.92,22.93,14.91,747.0,,1.35
1193,1,2012-08-12,0,18.005,21.2,14.81,425.0,,
1193,1,2012-08-13,2,18.48,20.78,16.18,423.0,,1.35
1193,1,2012-08-14,6,18.855,22.14,15.57,448.0,Laylatul Qadr (Night of Power),1.3499999999999999
1193,1,2012-08-15,0,17.55,19.01,16.09,464.0,Assumption of Mary,
1193,1,2012-08-16,4,17.54,19.32,15.76,366.0,,1.35
1193,1,2012-08-17,10,18.91,20.86,16.96,286.0,,1.35
1193,1,2012-08-18,9,19.585,21.71,17.46,415.0,,1.3555555555555554
1193,1,2012-08-19,2,17.915,20.4,15.43,396.0,Eid ul Fitr,1.35
1193,1,2012-08-20,2,17.57,20.52,14.62,480.0,,1.35
1193,1,2012-08-21,4,17.06,19.48,14.64,418.0,,1.35
1193,1,2012-08-22,1,16.49,18.51,14.47,485.0,,1.4
1193,1,2012-08-23,4,15.76,17.97,13.55,465.0,,1.35
1193,1,2012-08-24,8,15.12,16.88,13.36,379.0,,1.35
1193,1,2012-08-25,6,16.555,19.09,14.02,461.0,,1.3499999999999999
1193,1,2012-08-26,1,14.465,17.69,11.24,585.0,,1.4
1193,1,2012-08-27,8,16.115,17.76,14.47,332.0,Summer Bank Holiday,1.35
1193,1,2012-08-28,7,16.77,19.08,14.46,488.0,,1.342857142857143
1193,1,2012-08-29,4,15.295,17.26,13.33,436.0,,1.35
1193,1,2012-08-30,2,13.72,17.48,9.96,509.0,,1.35
1193,1,2012-08-31,6,12.145,16.77,7.52,539.0,,1.3499999999999999
1193,1,2012-09-01,3,15.755,17.89,13.62,382.0,,1.3333333333333333
1193,1,2012-09-02,2,16.365,17.89,14.84,177.0,,1.35
1193,1,2012-09-03,2,15.725,19.37,12.08,386.0,,1.35
1193,1,2012-09-04,4,16.75,19.29,14.21,248.0,,1.35
1193,1,2012-09-05,1,14.345,17.89,10.8,502.0,,1.4
1193,1,2012-09-06,2,13.62,19.01,8.23,706.0,,1.35
1193,1,2012-09-07,5,15.455,19.29,11.62,647.0,,1.3599999999999999
1193,1,2012-09-08,2,14.565,20.14,8.99,565.0,,1.35
1193,1,2012-09-09,0,15.465,19.9,11.03,523.0,,
1193,1,2012-09-10,4,17.0,18.72,15.28,311.0,,1.35
1193,1,2012-09-11,4,13.275,15.82,10.73,487.0,,1.35
1193,1,2012-09-12,3,13.175,16.71,9.64,362.0,,1.3333333333333333
1193,1,2012-09-13,3,11.5,16.27,6.73,490.0,,1.3333333333333333
1193,1,2012-09-14,4,14.645,17.33,11.96,335.0,,1.35
1193,1,2012-09-15,7,12.565,16.11,9.02,379.0,,1.342857142857143
1193,1,2012-09-16,3,14.685,16.36,13.01,203.0,,1.3333333333333333
1193,1,2012-09-17,5,13.575,16.29,10.86,383.0,Rosh Hashana,1.3599999999999999
1193,1,2012-09-18,2,11.82,14.98,8.66,537.0,,1.35
1193,1,2012-09-19,4,10.56,14.6,6.52,549.0,Ganesh Chaturthi,1.35
1193,1,2012-09-20,1,13.115,15.41,10.82,339.0,,1.4
1193,1,2012-09-21,6,12.935,16.15,9.72,374.0,,1.3499999999999999
1193,1,2012-09-22,3,10.03,13.78,6.28,563.0,September equinox,1.3333333333333333
1193,1,2012-09-23,8,9.55,10.41,8.69,247.0,,1.35
1193,1,2012-09-24,6,11.375,13.78,8.97,253.0,,1.3499999999999999
1193,1,2012-09-25,5,11.53,12.99,10.07,388.0,,1.3599999999999999
1193,1,2012-09-26,2,11.69,12.8,10.58,350.0,Yom Kippur,1.35
1193,1,2012-09-27,1,11.9,15.14,8.66,377.0,,1.4
1193,1,2012-09-28,6,12.9,14.46,11.34,346.0,,1.3499999999999999
1193,1,2012-09-29,5,11.045,14.06,8.03,549.0,,1.3599999999999999
1193,1,2012-09-30,1,13.205,15.68,10.73,189.0,,1.4
1193,1,2012-10-01,0,13.74,15.36,12.12,368.0,First day of Sukkot,
1193,1,2012-10-02,1,13.86,15.73,11.99,346.0,,1.4
1193,1,2012-10-03,4,11.255,13.41,9.1,405.0,,1.35
1193,1,2012-10-04,7,10.72,13.72,7.72,417.0,Feast of St Francis of Assisi,1.342857142857143
1193,1,2012-10-05,5,10.8,13.07,8.53,238.0,,1.3599999999999999
1193,1,2012-10-06,5,9.52,13.1,5.94,440.0,,1.3599999999999999
1193,1,2012-10-07,1,9.365,12.93,5.8,504.0,Hoshana Rabbah,1.4
1193,1,2012-10-08,1,11.635,12.69,10.58,140.0,Shemini Atzeret,1.4
1193,1,2012-10-09,7,10.625,11.79,9.46,133.0,Simchat Torah,1.342857142857143
1193,1,2012-10-10,2,11.54,13.19,9.89,112.0,,1.35
1193,1,2012-10-11,8,13.4,15.8,11.0,118.0,,1.35
1193,1,2012-10-12,3,10.08,12.12,8.04,385.0,,1.3333333333333333
1193,1,2012-10-13,3,7.895,10.83,4.96,435.0,,1.3333333333333333
1193,1,2012-10-14,4,7.115,12.12,2.11,465.0,,1.35
1193,1,2012-10-15,2,9.87,12.84,6.9,263.0,,1.35
1193,1,2012-10-16,1,11.65,13.57,9.73,401.0,Navaratri,1.4
1193,1,2012-10-17,3,12.74,15.06,10.42,355.0,,1.3333333333333333
1193,1,2012-10-18,5,12.515,14.37,10.66,365.0,,1.3599999999999999
1193,1,2012-10-19,3,10.76,13.81,7.71,376.0,,1.3333333333333333
1193,1,2012-10-20,7,11.025,13.79,8.26,467.0,,1.342857142857143
1193,1,2012-10-21,3,10.07,12.63,7.51,297.0,,1.3333333333333333
1193,1,2012-10-22,3,11.885,12.93,10.84,92.0,,1.3333333333333333
1193,1,2012-10-23,4,12.985,13.51,12.46,110.0,Dussehra,1.35
1193,1,2012-10-24,4,13.015,13.72,12.31,97.0,,1.35
1193,1,2012-10-25,7,11.14,13.34,8.94,102.0,,1.342857142857143
1193,1,2012-10-26,1,6.32,8.7,3.94,198.0,Eid ul Adha,1.4
1193,1,2012-10-27,0,4.99,8.89,1.09,483.0,,
1193,1,2012-10-28,0,6.3,9.98,2.62,219.0,Daylight Saving Time ends,
1193,1,2012-10-29,4,9.415,12.32,6.51,312.0,,1.35
1193,1,2012-10-30,1,7.425,9.64,5.21,234.0,,1.4
1193,1,2012-10-31,3,9.065,11.62,6.51,238.0,Halloween,1.3333333333333333
1193,1,2012-11-01,2,6.1,7.81,4.39,272.0,All Saints' Day,1.35
1193,1,2012-11-02,6,6.635,7.76,5.51,322.0,All Souls' Day,1.3499999999999999
1193,1,2012-11-03,8,6.275,7.74,4.81,336.0,,1.35
1193,1,2012-11-04,0,5.365,6.96,3.77,204.0,,
1193,1,2012-11-05,3,6.2,8.89,3.51,344.0,Guy Fawkes Day,1.3333333333333333
1193,1,2012-11-06,3,6.885,10.43,3.34,336.0,,1.3333333333333333
1193,1,2012-11-07,2,8.88,10.73,7.03,178.0,,1.35
1193,1,2012-11-08,4,9.98,11.43,8.53,177.0,,1.35
1193,1,2012-11-09,6,9.72,10.87,8.57,126.0,,1.3499999999999999
1193,1,2012-11-10,5,7.05,9.81,4.29,301.0,,1.3599999999999999
1193,1,2012-11-11,2,6.09,9.81,2.37,364.0,Remembrance Sunday,1.35
1193,1,2012-11-12,2,10.14,12.06,8.22,167.0,,1.35
1193,1,2012-11-13,4,12.105,13.19,11.02,118.0,Diwali/Deepavali,1.35
1193,1,2012-11-14,2,9.53,12.26,6.8,267.0,,1.35
1193,1,2012-11-15,3,6.205,7.11,5.3,95.0,Muharram/Islamic New Year,1.3333333333333333
1193,1,2012-11-16,3,9.07,11.11,7.03,68.0,,1.3333333333333333
1193,1,2012-11-17,2,7.375,11.27,3.48,310.0,,1.35
1193,1,2012-11-18,0,4.67,8.87,0.47,387.0,,
1193,1,2012-11-19,6,9.67,11.87,7.47,130.0,,1.3499999999999999
1193,1,2012-11-20,2,11.88,13.87,9.89,186.0,,1.35
1193,1,2012-11-21,2,7.875,9.81,5.94,231.0,,1.35
1193,1,2012-11-22,0,10.05,12.61,7.49,204.0,,
1193,1,2012-11-23,1,7.515,10.51,4.52,330.0,,1.4
1193,1,2012-11-24,3,6.395,9.57,3.22,177.0,Ashura,1.3333333333333333
1193,1,2012-11-25,5,8.725,10.68,6.77,206.0,,1.3599999999999999
1193,1,2012-11-26,2,7.175,8.89,5.46,220.0,,1.35
1193,1,2012-11-27,2,6.96,8.35,5.57,169.0,,1.35
1193,1,2012-11-28,1,3.91,6.83,0.99,203.0,,1.4
1193,1,2012-11-29,4,2.195,5.66,-1.27,405.0,,1.35
1193,1,2012-11-30,4,2.365,5.67,-0.94,290.0,St Andrew's Day,1.35
1193,1,2012-12-01,5,3.5,7.11,-0.11,357.0,,1.3599999999999999
1193,1,2012-12-02,1,4.15,6.59,1.71,204.0,First Sunday of Advent,1.4
1193,1,2012-12-03,1,7.315,10.41,4.22,243.0,,1.4
1193,1,2012-12-04,0,5.25,6.91,3.59,310.0,,
1193,1,2012-12-05,3,2.92,5.57,0.27,357.0,,1.3333333333333333
1193,1,2012-12-06,1,2.37,6.73,-1.99,269.0,,1.4
1193,1,2012-12-07,1,5.24,7.77,2.71,302.0,,1.4
1193,1,2012-12-08,4,4.605,7.25,1.96,334.0,Feast of the Immaculate Conception,1.35
1193,1,2012-12-09,2,6.46,8.61,4.31,176.0,First Day of Hanukkah,1.35
1193,1,2012-12-10,5,3.155,5.71,0.6,456.0,,1.3599999999999999
1193,1,2012-12-11,1,-0.435,1.61,-2.48,313.0,,1.4
1193,1,2012-12-12,1,-0.35,2.08,-2.78,170.0,,1.4
1193,1,2012-12-13,0,-0.235,1.1,-1.57,146.0,,
1193,1,2012-12-14,2,5.595,10.35,0.84,127.0,,1.35
1193,1,2012-12-15,3,8.31,9.47,7.15,235.0,,1.3333333333333333
1193,1,2012-12-16,2,7.645,8.54,6.75,249.0,Last day of Hanukkah,1.35
1193,1,2012-12-17,3,7.59,8.86,6.32,230.0,,1.3333333333333333
1193,1,2012-12-18,5,5.88,8.87,2.89,300.0,,1.3599999999999999
1193,1,2012-12-19,8,6.275,8.02,4.53,136.0,,1.35
1193,1,2012-12-20,14,9.555,11.18,7.93,107.0,,1.3499999999999999
1193,1,2012-12-21,8,8.14,9.54,6.74,196.0,December Solstice,1.35
1193,1,2012-12-22,25,10.03,12.3,7.76,89.0,,1.3519999999999999
1193,1,2012-12-23,11,10.225,12.59,7.86,159.0,,1.3454545454545455
1193,1,2012-12-24,6,8.13,8.87,7.39,178.0,Christmas Eve,1.3499999999999999
1193,1,2012-12-25,0,7.355,8.62,6.09,220.0,Christmas Day,
1193,1,2012-12-26,0,8.04,10.07,6.01,202.0,Boxing Day,
1193,1,2012-12-27,3,7.37,8.53,6.21,240.0,,1.3333333333333333
1193,1,2012-12-28,2,9.065,11.96,6.17,132.0,,1.35
1193,1,2012-12-29,4,8.685,11.77,5.6,179.0,,1.35
1193,1,2012-12-30,0,7.775,10.41,5.14,231.0,,
1193,1,2012-12-31,3,5.91,7.2,4.62,360.0,New Year's Eve,1.3333333333333333
1193,1,2013-01-01,0,6.715,9.01,4.42,271.0,New Year's Day,
